creator,base_model_count,total_derivatives,avg_downloads
Edens-Gate,4,8,1.25
lipefree,4,13,1.25
Duxiaoman-DI,4,8,2149.75
dmis-lab,4,27,124.5
Darkknight535,4,6,4.0
flemmingmiguel,4,37,676.0
chujiezheng,4,17,4304.25
InsultedByMathematics,4,4,1.25
Intelligent-Internet,4,15,349.0
erdem-erdem,4,10,1.75
DataPilot,4,10,6.25
yanolja,4,13,185.5
xverse,4,7,1845.5
4bit,4,4,2.25
ytu-ce-cosmos,4,40,637.0
x2bee,4,4,6.0
winglian,4,8,472.5
IntervitensInc,4,31,18.0
KISTI-KONI,4,40,931.75
dddsaty,4,4,59.5
CryptoYogi,4,4,39.25
cmarkea,4,4,651.0
ff670,4,8,5.0
Delcos,4,13,734.0
crumb,4,9,191.75
cookinai,4,5,558.75
codefuse-ai,4,13,75.25
hrezaei,4,6,2.0
johnpaulbin,4,4,1.5
kaitchup,4,9,126.25
ketchup123,4,4,1.75
ByteDance,4,4,12116.25
hfl,4,11,4475.75
etri-xainlp,4,4,3.75
cerebras,4,13,1053.25
mjm4dl,4,6,0.75
mistral-community,4,109,2062.0
malhajar,4,5,236.25
WhiteRabbitNeo,4,22,2491.25
PetroGPT,4,44,503.5
ParScale,4,4,31.0
Orenguteng,4,132,1592.5
OuteAI,4,33,58.75
parler-tts,4,17,70858.5
p208p2002,4,6,11.0
PygmalionAI,4,27,1049.75
Goekdeniz-Guelmez,4,6,4.5
prometheus-eval,4,10,19067.5
Sakalti,4,10,4.25
PleIAs,4,24,1825.5
PipableAI,4,4,59.25
GeneZC,4,8,1059.0
nota-ai,4,4,3.25
SciPhi,4,22,825.5
GAIR,4,13,2427.75
SteelStorage,4,21,560.75
megastudyedu,4,10,7.0
BSC-LT,4,36,491.75
TheMockingJay1013,4,8,1.25
naver-hyperclovax,4,32,11631.5
BKM1804,4,5,0.5
mrm8488,4,10,622.25
p1atdev,4,4,7.25
Ash2749,4,4,1.25
mzbac,4,5,236.5
Raziel1234,4,5,322.0
raincandy-u,4,4,41.5
HPAI-BSC,4,15,362.5
HanningZhang,4,4,0.25
NYTK,4,8,346.5
NLPark,4,4,4292.5
Niraya666,4,4,0.0
Nisk36,4,6,2.0
Nofing,4,4,2.0
Henk717,4,10,391.5
salmankhanpm,4,4,37.5
OEvortex,4,16,63.5
OpenDFM,4,6,8213.5
NovaSky-AI,4,7,154.0
Alibaba-NLP,4,26,126024.0
Alphacode-AI,4,4,4.25
sosoai,4,4,2.25
skarnam,4,8,1.5
AlexHung29629,4,8,4.0
thejaminator,4,11,0.75
Aeala,4,4,841.25
MNC-LLM,4,8,1.5
Maxtimer97,4,6,4.0
sujayrittikar,4,4,0.5
teknium,4,17,13.5
MiniMaxAI,4,133,197026.25
tensorplex-labs,4,10,1.75
stylellm,4,4,6.0
MTSAIR,4,42,4520.25
MarsupialAI,4,24,10.25
voidful,4,10,1681.5
Abhishek107,4,4,2.5
turboderp,4,37,2153.25
Kooten,4,15,385.5
UnfilteredAI,3,6,2872.6666666666665
youjunhyeok,3,4,4.333333333333333
yulan-team,3,14,299.6666666666667
yuuko-eth,3,4,3.6666666666666665
OminousDude,3,3,0.0
PatronusAI,3,13,14109.0
ecastera,3,3,3.3333333333333335
almanach,3,6,121.33333333333333
allura-org,3,18,23.333333333333332
EmergentMethods,3,3,42.0
ghost-x,3,14,223.0
McGill-NLP,3,3,12.333333333333334
PRIME-RL,3,8,67.0
FlagAlpha,3,8,6361.0
